id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude,home_game,gameday
14086265,JK118993,2026-01-16T19:00:00.000,080XX S INDIANA AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,False,False,0623,006,6,44,41.748211844,-87.619689057,True,False
14085998,JK118256,2026-01-16T19:00:00.000,0000X W TERMINAL ST,BATTERY,SIMPLE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,False,False,1655,016,41,76,41.974861952,-87.890372151,True,False
14086635,JK119598,2026-01-16T19:00:00.000,012XX S ASHLAND AVE,THEFT,THEFT FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1233,012,28,28,41.866331725,-87.666379171,True,False
14085651,JK118282,2026-01-16T19:00:00.000,0000X E ROOSEVELT RD,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,CONVENIENCE STORE,False,False,0123,001,4,32,41.867414944,-87.627231186,True,False
14088186,JK121539,2026-01-16T19:00:00.000,017XX N WHIPPLE ST,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1421,014,26,23,41.912419266,-87.703447295,True,False
14085719,JK118418,2026-01-16T19:00:00.000,0000X N LA SALLE ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,False,0122,001,34,32,41.882114362,-87.632361012,True,False
14087904,JK121150,2026-01-16T19:00:00.000,085XX S ST LAWRENCE AVE,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,0632,006,6,44,41.739236145,-87.609745285,True,False
14085958,JK118768,2026-01-16T19:00:00.000,023XX E 100TH ST,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,0431,004,7,51,41.71348111,-87.567866903,True,False
14085520,JK118303,2026-01-16T19:00:00.000,063XX S COTTAGE GROVE AVE,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SMALL RETAIL STORE,False,False,0312,003,20,42,41.779457059,-87.605909273,True,False
14086154,JK119063,2026-01-16T19:00:00.000,053XX S WALLACE ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0935,009,16,61,41.797330093,-87.640455398,True,False
14085629,JK118277,2026-01-16T19:00:00.000,103XX S WALDEN PKWY,ASSAULT,SIMPLE,APARTMENT,False,False,2212,022,19,72,41.705823694,-87.669219883,True,False
14088298,JK121677,2026-01-16T19:00:00.000,060XX N BROADWAY,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,2433,024,48,77,41.991262667,-87.660305558,True,False
14089243,JK122965,2026-01-16T19:00:00.000,024XX N MONTICELLO AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2524,025,35,22,41.925301251,-87.71823247,True,False
14086417,JK118233,2026-01-16T18:57:00.000,079XX S CLYDE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0414,004,8,46,41.750885214,-87.573531747,True,False
14085578,JK118259,2026-01-16T18:55:00.000,009XX N RUSH ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1833,018,42,8,41.900181244,-87.627241312,True,False
14089818,JK123363,2026-01-16T18:53:00.000,017XX W FULLERTON AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1931,019,32,7,41.92510186,-87.671992307,True,False
14085432,JK118222,2026-01-16T18:45:00.000,040XX W ROOSEVELT RD,ASSAULT,SIMPLE,APARTMENT,False,False,1011,010,24,29,41.866147972,-87.726784885,True,False
14085617,JK118228,2026-01-16T18:44:00.000,008XX W 63RD ST,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,0712,007,16,68,41.779743198,-87.645227698,True,False
14085842,JK118563,2026-01-16T18:35:00.000,097XX S ESCANABA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0431,004,10,51,41.718361828,-87.553776579,True,False
14097193,JK132282,2026-01-16T18:30:00.000,005XX N DEARBORN ST,THEFT,FROM BUILDING,APARTMENT,False,False,1831,018,42,8,41.891946946,-87.629664215,True,False
14105095,JK142541,2026-01-16T18:30:00.000,077XX S CORNELL AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT / LAND,False,False,0411,004,8,43,41.754499986,-87.584480191,True,False
14085900,JK118642,2026-01-16T18:30:00.000,004XX N UNION AVE,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1214,012,27,24,41.890540948,-87.645817429,True,False
14086037,JK118823,2026-01-16T18:30:00.000,082XX S CHAMPLAIN AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,0631,006,6,44,41.744907503,-87.608695893,True,False
14085612,JK118231,2026-01-16T18:27:00.000,043XX S ARCHER AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,0821,008,12,58,41.813803157,-87.704715262,True,False
14085483,JK118203,2026-01-16T18:20:00.000,011XX W RANDOLPH ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1224,012,27,28,41.88416692,-87.654725048,True,False
14085448,JK118235,2026-01-16T18:20:00.000,056XX S RICHMOND ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0824,008,14,63,41.791350299,-87.697395285,True,False
14086137,JK118916,2026-01-16T18:20:00.000,004XX E WATERSIDE DR,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),False,True,0114,001,42,32,41.886915622,-87.616612361,True,False
14085474,JK118200,2026-01-16T18:16:00.000,008XX N KEDVALE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1111,011,37,23,41.896194201,-87.729806379,True,False
14085644,JK118223,2026-01-16T18:16:00.000,0000X E GRAND AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1834,018,42,8,41.891694878,-87.626155832,True,False
14085599,JK118278,2026-01-16T18:14:00.000,027XX N NARRAGANSETT AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2512,025,36,19,41.9301323,-87.785676799,True,False
14085390,JK118192,2026-01-16T18:10:00.000,015XX E 53RD ST,THEFT,$500 AND UNDER,RESTAURANT,False,False,0234,002,4,41,41.799545853,-87.588874056,True,False
14085619,JK118241,2026-01-16T18:10:00.000,109XX S DOTY AVE E,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0513,005,10,51,41.695908161,-87.595822806,True,False
14085494,JK118188,2026-01-16T18:05:00.000,071XX S JEFFERY BLVD,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,True,0333,003,5,43,41.764932153,-87.576272783,True,False
14085487,JK118205,2026-01-16T18:01:00.000,051XX S SACRAMENTO AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,0923,009,14,63,41.800093485,-87.698863876,True,False
14086063,JK118852,2026-01-16T18:00:00.000,026XX E 78TH ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0421,004,7,43,41.753634383,-87.559459234,True,False
14085495,JK118190,2026-01-16T18:00:00.000,004XX E WATERSIDE DR,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,0114,001,42,32,41.886915622,-87.616612361,True,False
14085451,JK118189,2026-01-16T18:00:00.000,032XX W DIVERSEY AVE,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE - COMMERCIAL,False,True,1412,014,35,21,41.932027533,-87.708105504,True,False
14085689,JK118317,2026-01-16T18:00:00.000,014XX S LOOMIS ST,BURGLARY,BURGLARY FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,False,False,1233,012,28,28,41.862183816,-87.661440644,True,False
14086134,JK119014,2026-01-16T18:00:00.000,002XX W ERIE ST,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,False,1831,018,42,8,41.893982766,-87.634541495,True,False
14089395,JK123153,2026-01-16T18:00:00.000,051XX S CICERO AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0815,008,23,56,41.799077101,-87.742945829,True,False
14086713,JK119713,2026-01-16T18:00:00.000,010XX N WOOD ST,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,RESIDENCE - YARD (FRONT / BACK),False,False,1213,012,1,24,41.901157639,-87.672327603,True,False
14086097,JK118927,2026-01-16T18:00:00.000,054XX S HARPER AVE,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,0234,002,5,41,41.797433891,-87.589048861,True,False
14088477,JK121894,2026-01-16T18:00:00.000,091XX S HAMILTON AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),False,False,2221,022,19,72,41.727681193,-87.676200723,True,False
14091841,JK126169,2026-01-16T18:00:00.000,041XX S PULASKI RD,THEFT,POCKET-PICKING,STREET,False,False,0815,008,14,57,41.817899635,-87.72393136,True,False
14085522,JK118239,2026-01-16T17:58:00.000,038XX W ARMITAGE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2525,025,26,22,41.917213891,-87.722322388,True,False
14088948,JK122521,2026-01-16T17:45:00.000,059XX W ROOSEVELT RD,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1513,015,29,25,41.865470783,-87.773383242,True,False
14088555,JK121873,2026-01-16T17:38:00.000,076XX N BOSWORTH AVE,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),False,False,2422,024,49,1,42.019918803,-87.669490817,True,False
14085632,JK118139,2026-01-16T17:35:00.000,112XX S RACINE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2234,022,21,75,41.690129871,-87.652045237,True,False
14085450,JK118176,2026-01-16T17:35:00.000,015XX N KINGSBURY ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1822,018,27,8,41.910533752,-87.653832316,True,False
14085425,JK118168,2026-01-16T17:33:00.000,052XX W MADISON ST,ASSAULT,SIMPLE,DRUG STORE,False,False,1522,015,37,25,41.880362084,-87.755847438,True,False
14085445,JK118184,2026-01-16T17:30:00.000,057XX W CHICAGO AVE,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,1511,015,29,25,41.894807608,-87.768499157,True,False
14085427,JK118225,2026-01-16T17:30:00.000,040XX W ROOSEVELT RD,ASSAULT,SIMPLE,APARTMENT,False,False,1011,010,24,29,41.866147972,-87.726784885,True,False
14087603,JK120876,2026-01-16T17:30:00.000,007XX N ADA ST,ASSAULT,SIMPLE,APARTMENT,False,False,1215,012,27,24,41.895265344,-87.661380506,True,False
14085490,JK118157,2026-01-16T17:27:00.000,065XX S HARVARD AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,0722,007,6,68,41.77543953,-87.633314847,True,False
14085570,JK118272,2026-01-16T17:23:00.000,001XX N STATE ST,THEFT,$500 AND UNDER,DEPARTMENT STORE,False,False,0111,001,34,32,41.883500187,-87.627876698,True,False
14085378,JK118160,2026-01-16T17:19:00.000,106XX S WESTERN AVE,ASSAULT,SIMPLE,DEPARTMENT STORE,False,False,2212,022,19,72,41.700448872,-87.681432535,True,False
14085406,JK118120,2026-01-16T17:01:00.000,024XX N LINCOLN AVE,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,APARTMENT,False,False,1932,019,43,7,41.92617099,-87.64977854,True,False
14085917,JK118702,2026-01-16T17:00:00.000,036XX W PALMER ST,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,2525,025,35,22,41.92092516,-87.718410454,True,False
14085670,JK118227,2026-01-16T17:00:00.000,035XX W 61ST PL,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,0823,008,14,66,41.781571789,-87.711827796,True,False
14085438,JK118250,2026-01-16T17:00:00.000,040XX W 51ST ST,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0815,008,14,57,41.800533618,-87.724411337,True,False
14086276,JK119113,2026-01-16T17:00:00.000,035XX N LAKE SHORE DR,BATTERY,SIMPLE,STREET,False,False,1925,019,46,6,41.948068465,-87.643126381,True,False
14085489,JK118288,2026-01-16T17:00:00.000,043XX W FIFTH AVE,ASSAULT,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,1131,011,24,26,41.870738861,-87.7335302,True,False
14085882,JK118578,2026-01-16T17:00:00.000,031XX N KILPATRICK AVE,ASSAULT,SIMPLE,APARTMENT,False,False,2521,025,31,19,41.937828543,-87.744383901,True,False
14085429,JK118091,2026-01-16T17:00:00.000,010XX N PULASKI RD,BATTERY,SIMPLE,STREET,False,False,1112,011,37,23,41.899514976,-87.726208426,True,False
14091928,JK126221,2026-01-16T17:00:00.000,061XX W LELAND AVE,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,RESIDENCE,False,True,1622,016,45,15,41.965659779,-87.7806918,True,False
14085344,JK118090,2026-01-16T16:59:00.000,004XX E 60TH ST,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,0233,002,20,40,41.785718028,-87.614829237,True,False
14085479,JK118193,2026-01-16T16:57:00.000,064XX S WOLCOTT AVE,NARCOTICS,MANUFACTURE / DELIVER - HALLUCINOGEN,APARTMENT,False,False,0726,007,15,67,41.776749441,-87.671428947,True,False
14085480,JK118196,2026-01-16T16:56:00.000,064XX S WOLCOTT AVE,NARCOTICS,MANUFACTURE / DELIVER - HALLUCINOGEN,APARTMENT,False,False,0726,007,15,67,41.776749441,-87.671428947,True,False
14085417,JK118130,2026-01-16T16:43:00.000,002XX N COLUMBUS DR,CRIMINAL TRESPASS,TO LAND,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,0114,001,42,32,41.886370204,-87.620691199,True,False
14085443,JK118099,2026-01-16T16:40:00.000,047XX S CAMPBELL AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,0922,009,15,58,41.807748971,-87.686860147,True,False
14085310,JK118086,2026-01-16T16:36:00.000,011XX S CANAL ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,0124,001,28,28,41.868385458,-87.639229711,True,False
14087893,JK120447,2026-01-16T16:31:00.000,049XX S KEDZIE AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,0821,008,14,63,41.803671998,-87.703846021,True,False
14085392,JK118116,2026-01-16T16:30:00.000,034XX W ADDISON ST,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1732,017,35,21,41.946542649,-87.714356095,True,False
14085611,JK118128,2026-01-16T16:30:00.000,003XX E 95TH ST,BATTERY,SIMPLE,SIDEWALK,False,False,0633,006,6,49,41.72187776,-87.614896187,True,False
14085890,JK118622,2026-01-16T16:30:00.000,052XX W LAKE ST,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,False,False,1523,015,37,25,41.887216076,-87.755620452,True,False
14085633,JK118150,2026-01-16T16:30:00.000,104XX S HALE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,2212,022,19,72,41.703862624,-87.668939776,True,False
14085475,JK118088,2026-01-16T16:30:00.000,035XX N HALSTED ST,BATTERY,SIMPLE,SMALL RETAIL STORE,True,False,1924,019,44,6,41.945839548,-87.649443495,True,False
14085887,JK118662,2026-01-16T16:30:00.000,057XX W CHICAGO AVE,THEFT,FROM BUILDING,GROCERY FOOD STORE,False,False,1511,015,29,25,41.894807608,-87.768499157,True,False
14085391,JK118080,2026-01-16T16:25:00.000,061XX N WINTHROP AVE,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,False,2433,024,48,77,41.992974271,-87.658304776,True,False
14085314,JK118048,2026-01-16T16:22:00.000,035XX W CHICAGO AVE,NARCOTICS,POSSESS - CRACK,STREET,True,False,1121,011,27,23,41.895470043,-87.715418807,True,False
14087909,JK120526,2026-01-16T16:20:00.000,054XX N WINTHROP AVE,THEFT,$500 AND UNDER,RESIDENCE,False,False,2023,020,48,77,41.980554579,-87.657928425,True,False
14085386,JK118065,2026-01-16T16:20:00.000,053XX S PULASKI RD,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0815,008,23,62,41.796216157,-87.723245665,True,False
14086389,JK118864,2026-01-16T16:20:00.000,026XX N ELSTON AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1432,014,32,22,41.929743818,-87.684273777,True,False
14085560,JK118114,2026-01-16T16:19:00.000,006XX N LA SALLE DR,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1832,018,42,8,41.893469034,-87.632648229,True,False
14085375,JK118060,2026-01-16T16:17:00.000,013XX N LEAVITT ST,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,False,False,1424,014,1,24,41.906543587,-87.682242214,True,False
14085486,JK118271,2026-01-16T16:15:00.000,0000X E GRAND AVE,THEFT,OVER $500,DEPARTMENT STORE,False,False,1834,018,42,8,41.891694878,-87.626155832,True,False
14086191,JK119098,2026-01-16T16:14:00.000,033XX W 16TH ST,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,GROCERY FOOD STORE,True,False,1021,010,24,29,41.859036393,-87.709650307,True,False
14085424,JK118050,2026-01-16T16:12:00.000,071XX S DORCHESTER AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,0324,003,8,43,41.765788342,-87.590987258,True,False
14085404,JK118107,2026-01-16T16:05:00.000,020XX W DIVISION ST,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1424,014,1,24,41.903177212,-87.678040971,True,False
14085356,JK118022,2026-01-16T16:03:00.000,0000X S STATE ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,0112,001,34,32,41.88171846,-87.627760426,True,False
14085518,JK118025,2026-01-16T16:02:00.000,0000X N WESTERN AVE,BATTERY,SIMPLE,RESTAURANT,False,False,1223,012,27,28,41.881756669,-87.686445186,True,False
14086969,JK120063,2026-01-16T16:00:00.000,061XX N HAMILTON AVE,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2413,024,40,2,41.99355926,-87.683592691,True,False
14087318,JK120380,2026-01-16T16:00:00.000,082XX S MARYLAND AVE,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0631,006,8,44,41.745244235,-87.603796482,True,False
14085482,JK118147,2026-01-16T16:00:00.000,001XX E CHICAGO AVE,THEFT,OVER $500,DEPARTMENT STORE,False,False,1833,018,2,8,41.896714548,-87.625340136,True,False
14087768,JK120695,2026-01-16T16:00:00.000,002XX E 60TH ST,THEFT,$500 AND UNDER,RESIDENCE,False,False,0311,003,20,40,41.785630597,-87.620176247,True,False
14089149,JK122821,2026-01-16T16:00:00.000,013XX N CLARK ST,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1821,018,2,8,41.906294202,-87.631523484,True,False
14085928,JK118654,2026-01-16T16:00:00.000,008XX E 91ST ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0633,006,8,47,41.729385194,-87.602550849,True,False
14085664,JK118369,2026-01-16T16:00:00.000,023XX N SAWYER AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1413,014,35,22,41.923707114,-87.70912744,True,False
14089675,JK123352,2026-01-16T16:00:00.000,087XX S DAN RYAN EXPY IB,THEFT,$500 AND UNDER,CTA TRAIN,False,False,0634,006,21,44,41.735851443,-87.624559612,True,False
14093397,JK128186,2026-01-16T16:00:00.000,010XX W AINSLIE ST,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,2024,020,46,3,41.971569461,-87.655497024,True,False
14094927,JK130099,2026-01-16T16:00:00.000,038XX W ROOSEVELT RD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1133,011,24,29,41.866225191,-87.721167065,True,False
14085420,JK118173,2026-01-16T16:00:00.000,006XX E 61ST ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0313,003,20,42,41.783979772,-87.6102764,True,False
14085471,JK118020,2026-01-16T15:56:00.000,118XX S AVENUE O,THEFT,RETAIL THEFT,DRUG STORE,True,False,0433,004,10,55,41.680481664,-87.540099953,True,False
14085368,JK118151,2026-01-16T15:51:00.000,008XX W NELSON ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,True,1933,019,44,6,41.937237233,-87.650961455,True,False
14085549,JK118057,2026-01-16T15:47:00.000,0000X N STATE ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,0112,001,34,32,41.882470918,-87.627847625,True,False
14086784,JK118031,2026-01-16T15:45:00.000,013XX W 95TH ST,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,2213,022,21,73,41.721303358,-87.655873595,True,False
14085436,JK118019,2026-01-16T15:45:00.000,014XX N LEAMINGTON AVE,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False,2533,025,37,25,41.906360517,-87.754650714,True,False
14086096,JK118877,2026-01-16T15:45:00.000,066XX S JUSTINE ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,0725,007,16,67,41.773315802,-87.66281984,True,False
14085659,JK118073,2026-01-16T15:45:00.000,036XX S MICHIGAN AVE,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,0212,002,3,35,41.82817456,-87.623186245,True,False
14085304,JK117988,2026-01-16T15:40:00.000,007XX N LAWNDALE AVE,NARCOTICS,POSSESS - CRACK,RESIDENCE,True,False,1112,011,27,23,41.894302232,-87.718717316,True,False
14087428,JK120580,2026-01-16T15:40:00.000,011XX N CLARK ST,ASSAULT,SIMPLE,DRUG STORE,False,False,1824,018,2,8,41.903478069,-87.631433102,True,False
14085355,JK118171,2026-01-16T15:39:00.000,067XX S EBERHART AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,0321,003,6,42,41.772292574,-87.613014149,True,False
14090725,JK124756,2026-01-16T15:31:00.000,045XX S DREXEL BLVD,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,0222,002,4,39,41.812417206,-87.603955459,True,False
14085658,JK118321,2026-01-16T15:30:00.000,036XX S INDIANA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,False,False,0212,002,3,35,41.828596275,-87.621710259,True,False
14086047,JK118753,2026-01-16T15:30:00.000,029XX S DR MARTIN LUTHER KING JR DR,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0133,001,4,35,41.841164277,-87.6171782,True,False
14085446,JK117997,2026-01-16T15:30:00.000,018XX S MILLARD AVE,ASSAULT,SIMPLE,APARTMENT,False,True,1014,010,24,29,41.85566687,-87.716334347,True,False
14085372,JK118043,2026-01-16T15:30:00.000,070XX N BELL AVE,BATTERY,SIMPLE,SIDEWALK,False,False,2411,024,50,2,42.010581605,-87.686046708,True,False
14085374,JK117999,2026-01-16T15:27:00.000,043XX S ARCHER AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,0821,008,12,58,41.813803157,-87.704715262,True,False
14085323,JK117996,2026-01-16T15:24:00.000,001XX W CERMAK RD,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA STATION,False,False,0914,009,11,34,41.852868298,-87.63091491,True,False
14085457,JK118023,2026-01-16T15:20:00.000,0000X E GRAND AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1834,018,42,8,41.891694878,-87.626155832,True,False
14085590,JK118118,2026-01-16T15:19:00.000,049XX S KEDZIE AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,0821,008,14,63,41.803671998,-87.703846021,True,False
14085318,JK117981,2026-01-16T15:15:00.000,042XX W DIVISION ST,ASSAULT,SIMPLE,STREET,False,False,1111,011,37,23,41.902582485,-87.731840051,True,False
14085333,JK117961,2026-01-16T15:15:00.000,046XX S HALSTED ST,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,False,0925,009,15,61,41.809786885,-87.645562848,True,False
14085301,JK117950,2026-01-16T15:12:00.000,073XX S SANGAMON ST,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,0733,007,17,68,41.760903375,-87.647943398,True,False
14091377,JK125521,2026-01-16T15:10:00.000,014XX S BLUE ISLAND AVE,THEFT,FROM BUILDING,HOTEL / MOTEL,False,False,1233,012,25,28,41.862095128,-87.657550249,True,False
14085321,JK118092,2026-01-16T15:10:00.000,007XX S DEARBORN ST,THEFT,$500 AND UNDER,RESTAURANT,False,False,0123,001,4,32,41.873025027,-87.629155822,True,False
14085466,JK118015,2026-01-16T15:09:00.000,040XX W LAWRENCE AVE,THEFT,OVER $500,SMALL RETAIL STORE,False,False,1712,017,39,14,41.968234567,-87.728571616,True,False
14085393,JK117955,2026-01-16T15:06:00.000,054XX W MELROSE ST,ASSAULT,SIMPLE,APARTMENT,True,True,1633,016,30,15,41.939543812,-87.762337666,True,False
14085279,JK117934,2026-01-16T15:02:00.000,046XX W IRVING PARK RD,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,1722,017,45,15,41.953443342,-87.744957048,True,False
14085351,JK117979,2026-01-16T15:01:00.000,027XX W LAKE ST,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,CONVENIENCE STORE,True,False,1222,012,27,27,41.884275586,-87.695714449,True,False
14085790,JK118484,2026-01-16T15:00:00.000,066XX S UNIVERSITY AVE,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),False,False,0321,003,20,42,41.774042022,-87.598491765,True,False
14085709,JK118419,2026-01-16T15:00:00.000,082XX S CHAMPLAIN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,0631,006,6,44,41.744907503,-87.608695893,True,False
14106230,JK143625,2026-01-16T15:00:00.000,018XX N HUMBOLDT BLVD,THEFT,FROM BUILDING,RESIDENCE,False,False,1421,014,26,22,41.914702787,-87.702006648,True,False
14085276,JK117992,2026-01-16T15:00:00.000,036XX N HARLEM AVE,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1632,016,38,17,41.946181628,-87.807036067,True,False
14085517,JK117949,2026-01-16T15:00:00.000,108XX S MORGAN ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2234,022,21,75,41.697380245,-87.647406274,True,False
14086989,JK119790,2026-01-16T15:00:00.000,010XX W MONROE ST,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,True,True,1232,012,34,28,41.880388116,-87.653336582,True,False
14085468,JK117925,2026-01-16T14:52:00.000,001XX E 95TH ST,ASSAULT,SIMPLE,STREET,False,False,0634,006,6,49,41.721789488,-87.620109702,True,False
14085316,JK117991,2026-01-16T14:50:00.000,006XX N TRUMBULL AVE,THEFT,$500 AND UNDER,APARTMENT,False,False,1121,011,27,23,41.892496375,-87.71256799,True,False
14085663,JK118024,2026-01-16T14:48:00.000,010XX E 47TH ST,BATTERY,SIMPLE,RESTAURANT,False,False,0222,002,4,39,41.809603298,-87.600345002,True,False
14085609,JK117927,2026-01-16T14:45:00.000,044XX N BROADWAY,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1913,019,46,3,41.963070794,-87.655984213,True,False
